minute,h_rms,h_kurt,h_skew,h_crest,v_rms,v_kurt,v_skew,v_crest,temp_mean,bearing,split,energy,health_idx,rms_ratio,threshold,label,rul,rul_pct
1,0.5387099347051251,3.40635583989512,-0.2766800836770724,4.325147634121251,0.420707652540633,3.2663192497209663,-0.002715740609211558,4.21432790411942,,Bearing1_2,demo,0.46720332265625014,1.8350377320923217,1.280485225717661,1.1832926554406946,0,870,0.9988518943742825
2,0.5055772018507658,3.194197363339818,-0.08147658009801294,3.920271705987667,0.4339568576447145,3.3112964639532727,-0.06355130339460228,3.8667438249982067,,Bearing1_2,demo,0.443926861328125,1.6149133651164393,1.1650402379391536,1.1832926554406946,0,869,0.9977037887485649
3,0.5424409371650522,3.034491848887303,0.09193621532318146,3.3736391822245704,0.4519955410627687,3.1958741613687414,0.030459433501002837,4.351812840763536,,Bearing1_2,demo,0.4985421394531251,1.6460326023301406,1.200102405190809,1.1832926554406946,0,868,0.9965556831228473
4,0.5150078162331617,3.0873388458685316,-0.020359689824835877,3.6620803416698724,0.47386797343774983,3.261181058399262,0.00046664210056635437,3.8892689586948435,,Bearing1_2,demo,0.4897839070312501,1.5900036369825623,1.0868170967751614,1.1832926554406946,0,867,0.9954075774971297
5,0.4856014167375338,2.9573077795055305,0.014205755011511523,3.511110019208277,0.4574171262029331,3.186858356869226,-0.006168080763216019,4.107847939990767,,Bearing1_2,demo,0.44503916328125004,1.4360728474568158,1.0616161657674368,1.1832926554406946,0,866,0.9942594718714122
6,0.4981630031770475,2.730717729127274,-0.031119140821790386,3.7839020312628064,0.46811260789672715,3.155022209365368,0.031002082998338145,3.9050432925164467,,Bearing1_2,demo,0.46729579140625005,1.3603425447708501,1.0641947978097508,1.1832926554406946,0,865,0.9931113662456946
7,0.539166929377512,2.881725217529202,0.0149700475588123,3.898607064118297,0.479325200721676,3.1428908659567654,-0.06974722816022941,3.388096426426323,,Bearing1_2,demo,0.52045362578125,1.5537309368449626,1.1248457778578969,1.1832926554406946,0,864,0.9919632606199771
8,0.4129021595479672,3.3554643539586655,0.07392759526604367,4.5095428941023386,0.4099391456362761,3.152536865107557,-0.008428135503278972,3.5980950229839817,,Bearing1_2,demo,0.33853829648437495,1.3854784780357576,1.0072279335506351,1.1832926554406946,0,863,0.9908151549942594
9,0.35606415876390873,3.1935877144694196,-0.08598888754388045,3.6903461561325637,0.43997948727042946,3.1483995423926596,-0.0193895849506692,4.879772947670145,,Bearing1_2,demo,0.32036363437500004,1.1371221229913078,0.8092744508695302,1.1832926554406946,0,862,0.9896670493685419
10,0.33953706420470503,3.0578099074468246,-0.0035898713125616932,3.855249213161854,0.45035305160923467,2.982014071846774,-0.026962126691670536,3.570532039023879,,Bearing1_2,demo,0.31810328906249996,1.0382397988705556,0.7539353008434403,1.1832926554406946,0,861,0.9885189437428243
11,0.379701036795727,3.0127149547223717,0.02450111627553135,3.752952616748665,0.44418122884977934,2.8473008813021736,-0.012654851840350942,3.376999977118788,,Bearing1_2,demo,0.34146984140625003,1.1439309918780762,0.8548335933153696,1.1832926554406946,0,860,0.9873708381171068
12,0.5045573926720329,3.319934963960458,0.02266759157261445,4.059003057607203,0.4773595474063549,3.101356351934289,0.02829796388935486,3.5738260791301943,,Bearing1_2,demo,0.4824503,1.6750977292566083,1.056975594929392,1.1832926554406946,0,859,0.9862227324913893
13,0.5147587776995648,3.384257177319994,-0.015857157291515777,4.339896853337134,0.511921745805084,3.215293156955558,0.03587993747641384,4.420597519253627,,Bearing1_2,demo,0.527040473046875,1.7420760880182196,1.0055419229837115,1.1832926554406946,0,858,0.9850746268656716
14,0.45917145362938777,2.96303249671453,-0.03995127800709323,3.436624788373697,0.48825444666433915,3.132121270741447,0.0051764567426462295,3.649736345074395,,Bearing1_2,demo,0.449230828515625,1.360539938667525,0.9404347586098282,1.1832926554406946,0,857,0.983926521239954
15,0.4436404279333377,3.0880929717681123,-0.004336642016991927,3.800375018737707,0.47300645270109687,3.0199315777537845,0.0191151654514507,3.813901458039087,,Bearing1_2,demo,0.42055193359375,1.3700028874931378,0.9379162260092201,1.1832926554406946,0,856,0.9827784156142365
16,0.46924640215722485,3.1804883712448353,-0.11789474033864643,4.02560358675806,0.49945248694820815,3.214068083095131,0.08309493536397028,3.984362980673117,,Bearing1_2,demo,0.46964497265625005,1.492432725309531,0.939521603115699,1.1832926554406946,0,855,0.981630309988519
17,0.4049737978599665,3.1954837612754257,-0.034452195572575055,3.711351222156299,0.4631329629882222,3.06893034815112,0.008169871345973858,3.644741649880043,,Bearing1_2,demo,0.378495918359375,1.2940871948035597,0.874422313567525,1.1832926554406946,0,854,0.9804822043628014
18,0.3792833425109123,3.2874874776363217,0.14093288871018483,3.968009746064445,0.46553168066537104,3.9367949179247455,-0.043224820565800515,5.655898639747007,,Bearing1_2,demo,0.360575599609375,1.246889238980672,0.8147315369688309,1.1832926554406946,0,853,0.9793340987370838
19,0.34675264114441146,2.9616477221167843,0.07373440324869825,3.93075592765068,0.4625078381937165,2.966453357923191,-0.050591623484209064,3.718855893005884,,Bearing1_2,demo,0.33415089453125,1.026959169783325,0.7497227328057845,1.1832926554406946,0,852,0.9781859931113662
